name,website,facebook,twitter,youtube,in_since,out_since,instagram
Toyota,http://www.toyota.com/,https://www.facebook.com/toyota,https://twitter.com/toyota,https://www.youtube.com/user/ToyotaUSA,,,https://www.instagram.com/toyotausa/
Nissan,http://www.nissanusa.com/,https://www.facebook.com/nissanusa,https://twitter.com/NissanUSA,,,,https://www.instagram.com/nissanusa/
Subaru,http://www.subaru.com/,https://www.facebook.com/subaruofamerica,https://twitter.com/subaru_usa,,,,https://www.instagram.com/subaru_usa/
Honda,http://www.honda.com/,https://www.facebook.com/Honda/,https://twitter.com/honda,,,,https://instagram.com/honda/
Acura,http://www.acura.com/,https://www.facebook.com/Acura,https://twitter.com/Acura,,,,https://www.instagram.com/acura/
AMC,http://www.american-motors.de/,https://www.facebook.com/American-Motors-16093657421/,,,1954,,
Audi,https://www.audiusa.com/,https://www.facebook.com/audi,https://twitter.com/audi,,,,
Bentley,https://www.bentleymotors.com/en.html,https://www.facebook.com/BentleyMotors,https://twitter.com/BentleyMotors,,1919,,https://www.instagram.com/BentleyMotors/
BMW,http://www.bmwusa.com/,https://www.facebook.com/BMWUSA,https://twitter.com/BMWUSA,,,,https://www.instagram.com/bmwusa/
Bugatti,http://www.bugatti.com/home/,https://www.facebook.com/bugatti/,https://twitter.com/Bugatti,,,,https://www.instagram.com/bugatti/
Buick,http://www.buick.com/,https://www.facebook.com/Buick/,https://twitter.com/buick,,,,https://www.instagram.com/buickusa/
Cadillac,http://www.cadillac.com/,https://www.facebook.com/cadillac,https://twitter.com/Cadillac,,,,https://www.instagram.com/cadillac/
Chevrolet,http://www.chevrolet.com/,https://www.facebook.com/chevrolet,https://twitter.com/chevrolet,,1911,,
Chrysler,http://www.chrysler.com/en/,https://www.facebook.com/Chrysler/,https://twitter.com/Chrysler,,,,https://www.instagram.com/chryslerautos/
Dodge,http://www.dodge.com/en/,https://www.facebook.com/dodge,https://twitter.com/dodge,,,,
Ferrari,http://www.ferrari.com/en_us/,https://www.facebook.com/Ferrari,https://twitter.com/Ferrari,,,,https://www.instagram.com/Ferrariusa/
Fiat,http://www.fiatusa.com/en/,https://www.facebook.com/fiatusa,https://twitter.com/fiatusa,,1899,,https://www.instagram.com/fiatusa/
Fisker,http://www.karmaautomotive.com/,https://www.facebook.com/fiskerauto/,https://twitter.com/fiskerauto,,2007,,
Ford,http://www.ford.com/,https://www.facebook.com/ford,https://twitter.com/Ford,,1903,,https://www.instagram.com/ford/
GMC,http://www.gmc.com/,https://www.facebook.com/gmc,https://twitter.com/thisisgmc,,,,https://www.instagram.com/gmc/
Hummer,http://www.hummer.com,https://www.facebook.com/boulisxman/info/?tab=page_info,https://twitter.com/GM,,1992,,
Hyundai,https://www.hyundaiusa.com/,https://www.facebook.com/Hyundai?v=wall,https://twitter.com/HYUNDAI,,,,https://www.instagram.com/hyundaiusa/
Infiniti,http://www.infiniti.com/us/,https://www.facebook.com/infinitiglobal,https://twitter.com/InfinitiGlobal,,,,https://instagram.com/infinitiusa
Jaguar,http://www.jaguarusa.com/,https://www.facebook.com/Jaguar/?brand_redir=179036435477975,https://twitter.com/JaguarUSA,,,,http://instagram.com/jaguarusa
Jeep,http://www.jeep.com/en/,https://www.facebook.com/jeep,https://twitter.com/Jeep,,,,https://www.instagram.com/jeepofficial/
Kia,http://www.kia.com/,https://www.facebook.com/Kiamotorsworldwide,https://twitter.com/Kia_Motors,,,,https://www.instagram.com/kiamotorsworldwide/
Lamborghini,http://www.lamborghini.com/,https://www.facebook.com/Lamborghini/,https://twitter.com/lamborghini,,,,https://www.instagram.com/lamborghini/
Lexus,http://www.lexus.com/,https://www.facebook.com/lexus,https://twitter.com/lexus,,,,https://www.instagram.com/lexususa/
Lincoln,http://www.lincoln.com/,https://www.facebook.com/Lincoln,https://twitter.com/LincolnMotorCo,,,,https://www.instagram.com/lincolnmotorco/
Lotus,http://www.lotuscars.com/,https://www.facebook.com/LotusCars,https://twitter.com/grouplotusplc,,1948,,https://www.instagram.com/grouplotusplc/
Maserati,http://www.maseratiusa.com/,https://www.facebook.com/Maserati,https://twitter.com/maserati_hq,,,,https://www.instagram.com/maserati/
Maybach,http://www.mbusa.com/,https://www.facebook.com/mercedesbenzusa,https://twitter.com/MBUSA,,,,https://www.youtube.com/user/mbusa
Mazda,http://www.mazdausa.com/,https://www.facebook.com/Mazda,https://www.facebook.com/Mazda,,1920,,https://www.instagram.com/mazdausa/
McLaren,http://cars.mclaren.com/,https://www.facebook.com/mclarenautomotive/,,,,,https://www.instagram.com/mclarenauto
Mercedes-Benz,https://www.mercedes-benz.com/en/,https://www.facebook.com/mercedesbenzusa,https://twitter.com/MBUSA,,,,https://www.instagram.com/mbusa/
Mercury,http://www.mercuryvehicles.com/,https://www.facebook.com/Mercury-130463693632476/,https://twitter.com/mercuryautos,,1939,,
MINI,http://www.miniusa.com/,https://www.facebook.com/MINIUSA/,https://twitter.com/miniusa,,,,https://www.instagram.com/miniusa/
Mitsubishi,http://www.mitsubishicars.com/,https://www.facebook.com/Mitsubishi,https://twitter.com/mitsucars,,,,https://www.instagram.com/mitsubishimotors/
Panoz,http://panoz.com/,https://www.facebook.com/panozllc?ref=br_tf,https://twitter.com/panozllc,,,,
Pontiac,http://panoz.com/,https://www.facebook.com/panozllc,https://twitter.com/panozllc,,,,https://www.instagram.com/pontiac_gto/
Porsche,http://www.porsche.com/usa/,https://www.facebook.com/porsche,https://twitter.com/Porsche,,,,https://www.instagram.com/porsche/
Ram,http://www.ramtrucks.com/en/,https://www.facebook.com/RamTrucks,https://twitter.com/ramtrucks,,,,https://www.instagram.com/ramtrucks/
Rolls-Royce,https://www.rolls-roycemotorcars.com/en-GB/home.html,https://www.facebook.com/rollsroycemotorcars,https://twitter.com/rollsroycecars,,,,https://www.instagram.com/rollsroycecars/?hl=en
Saab,http://saabcars.com/,https://www.facebook.com/Saab/,https://twitter.com/saabcars,,,,
Scion,https://www.scion.com/,https://www.facebook.com/scion,https://twitter.com/scion,,,,https://www.instagram.com/scion/
smart,http://www.smartusa.com/,https://www.facebook.com/smart,https://twitter.com/smartcarusa,,,,https://www.instagram.com/smartcarusa/
SRT,http://www.drivesrt.com/,https://www.facebook.com/dodge,https://twitter.com/drivesrt,,,,
Suzuki,http://www.globalsuzuki.com/,https://www.facebook.com/SuzukiWayOfLife/,,,,,
Tesla,https://www.teslamotors.com,https://www.facebook.com/teslamotors,https://twitter.com/TeslaMotors,,,,https://www.instagram.com/teslamotors/
Volkswagen,http://www.vw.com/,https://www.facebook.com/volkswagen/,https://twitter.com/VW,,,,https://www.instagram.com/vw/?hl=en
Volvo,http://www.volvocars.com/us,https://www.facebook.com/VolvocarUSA,https://twitter.com/volvocarusa,,,,https://www.instagram.com/volvocarusa/
