make_name,model_name,trim_name
Acura,CL,2.2
Acura,CL,2.2 Premium
Acura,CL,2.3
Acura,CL,2.3 Premium
Acura,CL,3
Acura,CL,3.0 Premium
Acura,CL,3.2
Acura,CL,3.2 Type-S
Acura,ILX,1.5 Hybrid
Acura,ILX,1.5 Hybrid w/ Tech Pkg
Acura,ILX,2.0L
Acura,ILX,2.0L w/ Premium Pkg
Acura,ILX,2.0L w/ Tech Pkg
Acura,ILX,2.4L w/ Premium Pkg
Acura,ILX,AcuraWatch Plus Pkg
Acura,ILX,Base
Acura,ILX,Premium + A-SPEC Pkg
Acura,ILX,Premium Pkg
Acura,ILX,Tech Plus + A-SPEC Pkg
Acura,ILX,Tech Plus Pkg
Acura,Integra,2 Dr LS Hatchback
Acura,Integra,2 Dr LS Special Hatchback
Acura,Integra,2 Dr RS Hatchback
Acura,Integra,4 Dr LS Hatchback
Acura,Integra,4 Dr RS Hatchback
Acura,Integra,GS Hatchback
Acura,Integra,GS Sedan
Acura,Integra,GS-R Hatchback
Acura,Integra,GS-R Sedan
Acura,Integra,LS Hatchback
Acura,Integra,LS Sedan
Acura,Integra,LS Special Hatchback
Acura,Integra,RS Hatchback
Acura,Integra,RS Sedan
Acura,Integra,Special Edition Hatchback
Acura,Integra,Special Edition Sedan
Acura,Integra,Type R Hatchback
Acura,Legend,Base
Acura,Legend,Base Coupe
Acura,Legend,GS
Acura,Legend,L
Acura,Legend,L Coupe
Acura,Legend,LS
Acura,Legend,LS Coupe
Acura,Legend,SE
Acura,MDX,AcuraWatch Plus Pkg
Acura,MDX,Advance + Entertainment Pkg
Acura,MDX,Advance Pkg
Acura,MDX,AWD
Acura,MDX,AWD AcuraWatch Plus Pkg
Acura,MDX,AWD Advance + Entertainment Pkg
Acura,MDX,AWD Advance Pkg
Acura,MDX,AWD Sport + Entertainment Pkg
Acura,MDX,AWD Sport Pkg
Acura,MDX,AWD Tech + AcuraWatch Plus Pkg
Acura,MDX,AWD Tech + Entertainment + AcuraWatch Plus Pkg
Acura,MDX,AWD Tech + Entertainment Pkg
Acura,MDX,AWD Tech Pkg
Acura,MDX,AWD Touring
Acura,MDX,AWD Touring w/ Navigation
